Name,Latitude,Longitude,City,State,Country,Region
Amazon_Beijing,40.190632,116.412144,Beijing,,China,china
Amazon_Chengdu,30.659867,104.063315,Chengdu,,China,china
Amazon_Guangzhou,23.1301964,113.2592945,Guangzhou,,China,china
Amazon_Harbin,45.7593633,126.6276177,Harbin,,China,china
Amazon_Jinan,36.6519754,117.1138479,Jinan,,China,china
Amazon_Nanning,22.8193063,108.3627211,Nanning,,China,china
Amazon_Shanghai,31.2312707,121.4700152,Shanghai,,China,china
Amazon_Shenyang,41.8026095,123.4279105,Shenyang,,China,china
Amazon_Suzhou,31.311123,120.6212881,Suzhou,,China,china
Amazon_Tianjin,39.3032619,117.4163641,Tianjin,,China,china
Amazon_Xi'an,34.261004,108.9423363,Xi'an,,China,china
Amazon_Xiamen,24.5438732,118.0768065,Xiamen,,China,china
Amazon_Multan,30.197838,71.4719683,Multan,,Pakistan,pakistan
Amazon_Jurong,1.2595841,103.6704952,Jurong,,Singapore,singapore
Amazon_Maracanaú,-3.8779438,-38.6247697,Maracanaú,Ceará,Brazil,brazil
Amazon_Santa Maria,-16.0171229,-48.0131328,Santa Maria,Distrito Federal,Brazil,brazil
Amazon_Betim,-19.9475338,-44.1995361,Betim,Minas Gerais,Brazil,brazil
Amazon_Cabo de Santo Agostinho,-8.2838945,-35.0320984,Cabo de Santo Agostinho,Pernambuco,Brazil,brazil
Amazon_GIG1,-22.7853575,-43.366715,São João de Meriti,Rio de Janeiro,Brazil,brazil
Amazon_Nova Santa Rita,-29.8489972,-51.2764275,Nova Santa Rita,Rio Grande do Sul,Brazil,brazil
Amazon_GRU6,-23.3561111,-46.8769444,Cajamar,São Paulo,Brazil,brazil
Amazon_PRG2,50.1130584,14.2177331,Dobrovíz,,Czech Republic,europe
Amazon_Boigny-sur-Bionne,47.9231655,2.0075032,Boigny-sur-Bionne,,France,europe
Amazon_Boves,49.8463524,2.3932912,Boves,,France,europe
Amazon_Saran,47.9514553,1.8749906,Saran,,France,europe
