Name,Latitude,Longitude,City,State,Country,Code
Amazon_Moorebank,-33.9332633,150.9496860,Moorebank,New South Wales,Australia,Moorebank
Amazon_Kemps Creek,-33.8813335,150.7837238,Kemps Creek,New South Wales,Australia,Kemps Creek
Amazon_Eastern Creek,-33.8059423,150.8499560,Eastern Creek,New South Wales,Australia,Eastern Creek
Amazon_Punchbowl,-33.9287170,151.0522591,Punchbowl,New South Wales,Australia,Punchbowl
Amazon_Regents Park,-33.8820048,151.0256900,Regents Park,New South Wales,Australia,Regents Park
Amazon_Botany,-33.9478290,151.1990644,Botany,New South Wales,Australia,Botany
Amazon_Bella Vista,-33.7416936,150.9547183,Bella Vista,New South Wales,Australia,Bella Vista
Amazon_West Gosford,-33.4150000,151.3177778,West Gosford,New South Wales,Australia,West Gosford
Amazon_Mayfield West,-32.8900840,151.7262824,Mayfield West,New South Wales,Australia,Mayfield West
Amazon_Brisbane,-27.4689623,153.0235009,Brisbane,Queensland,Australia,Brisbane
Amazon_Pinkenba,-27.3945030,153.1430837,Pinkenba,Queensland,Australia,Pinkenba
Amazon_Arundel,-27.9360655,153.3653514,Arundel,Queensland,Australia,Arundel
Amazon_Dandenong South,-38.0279936,145.2209236,Dandenong South,Victoria,Australia,Dandenong South
Amazon_Ravenhall,-37.7754956,144.7366326,Ravenhall,Victoria,Australia,Ravenhall
Amazon_Craigieburn,-37.6022613,144.9430882,Craigieburn,Victoria,Australia,Craigieburn
Amazon_Craigieburn,-37.6022613,144.9430882,Craigieburn,Victoria,Australia,Craigieburn
Amazon_Mulgrave,-37.9261741,145.1723107,Mulgrave,Victoria,Australia,Mulgrave
Amazon_Melbourne Airport,-37.6667554,144.8288501,Melbourne Airport,Victoria,Australia,Melbourne Airport
Amazon_Geelong,-38.1493248,144.3598241,Geelong,Victoria,Australia,Geelong
Amazon_Perth Airport,-31.9415213,115.9655769,Perth Airport,Western Australia,Australia,Perth Airport
Amazon_Jandakot Airport,-32.0976113,115.8747482,Jandakot Airport,Western Australia,Australia,Jandakot Airport
Amazon_High Wycombe,-31.9546280,115.9921995,High Wycombe,Western Australia,Australia,High Wycombe
Amazon_Kewdale,-31.9760687,115.9423314,Kewdale,Western Australia,Australia,Kewdale
Amazon_Cavan,-34.8256560,138.5995084,Cavan,South Australia,Australia,Cavan
