Name,Latitude,Longitude,City,State,Country,Code
Amazon_Maracanaú,-3.8779438,-38.6247697,Maracanaú,Ceará,Brazil,Maracanaú
Amazon_Santa Maria,-16.0171229,-48.0131328,Santa Maria,Distrito Federal,Brazil,Santa Maria
Amazon_Betim,-19.9475338,-44.1995361,Betim,Minas Gerais,Brazil,Betim
Amazon_Cabo de Santo Agostinho,-8.2838945,-35.0320984,Cabo de Santo Agostinho,Pernambuco,Brazil,Cabo de Santo Agostinho
Amazon_Cabo de Santo Agostinho,-8.2838945,-35.0320984,Cabo de Santo Agostinho,Pernambuco,Brazil,Cabo de Santo Agostinho
Amazon_GIG1,-22.7853575,-43.3667150,São João de Meriti,Rio de Janeiro,Brazil,GIG1
Amazon_Nova Santa Rita,-29.8489972,-51.2764275,Nova Santa Rita,Rio Grande do Sul,Brazil,Nova Santa Rita
Amazon_GRU6,-23.3561111,-46.8769444,Cajamar,São Paulo,Brazil,GRU6
Amazon_Cajamar,-23.3561111,-46.8769444,Cajamar,São Paulo,Brazil,Cajamar
Amazon_Cajamar,-23.3561111,-46.8769444,Cajamar,São Paulo,Brazil,Cajamar
