Name,Latitude,Longitude,City,State,Country,Code
Amazon_YYC4,51.0456064,-114.0575410,Calgary,Alberta,Canada,YYC4
Amazon_YYC6,51.0456064,-114.0575410,Calgary,Alberta,Canada,YYC6
Amazon_YYC1,51.3699347,-114.0141860,Rocky View County,Alberta,Canada,YYC1
Amazon_YYC5,51.3699347,-114.0141860,Rocky View County,Alberta,Canada,YYC5
Amazon_YEG1,53.2272306,-113.8017098,Leduc County,Alberta,Canada,YEG1
Amazon_YEG2,53.5050612,-114.3529154,Parkland County,Alberta,Canada,YEG2
Amazon_YEG4,53.5050612,-114.3529154,Parkland County,Alberta,Canada,YEG4
Amazon_Annacis Island,49.1765307,-122.9372696,Annacis Island,British Columbia,Canada,Annacis Island
Amazon_Burnaby,49.2433804,-122.9725450,Burnaby,British Columbia,Canada,Burnaby
Amazon_YVR7,49.1039289,-122.6570470,Langley,British Columbia,Canada,YVR7
Amazon_YVR3,49.2067726,-122.9108818,New Westminster,British Columbia,Canada,YVR3
Amazon_YXX1,49.2207623,-122.6901530,Pitt Meadows,British Columbia,Canada,YXX1
Amazon_YXX2,49.1631680,-123.1374140,Richmond,British Columbia,Canada,YXX2
Amazon_YVR4,49.0242843,-123.0762236,Tsawwassen,British Columbia,Canada,YVR4
Amazon_YOO1,43.8505287,-79.0208814,Ajax,Ontario,Canada,YOO1
Amazon_YGK1,44.2436328,-77.3607597,Belleville,Ontario,Canada,YGK1
Amazon_YYZ3,43.6858320,-79.7599366,Brampton,Ontario,Canada,YYZ3
Amazon_YYZ4,43.6858320,-79.7599366,Brampton,Ontario,Canada,YYZ4
Amazon_YYZ6,43.6858320,-79.7599366,Brampton,Ontario,Canada,YYZ6
Amazon_YHM5,43.6858320,-79.7599366,Brampton,Ontario,Canada,YHM5
Amazon_Caledon,43.8320699,-79.9066871,Caledon,Ontario,Canada,Caledon
Amazon_YHM1,43.2560802,-79.8728583,Hamilton,Ontario,Canada,YHM1
Amazon_YYZ1,43.5896231,-79.6443879,Mississauga,Ontario,Canada,YYZ1
Amazon_YYZ2,43.5136710,-79.8828170,Milton,Ontario,Canada,YYZ2
Amazon_YOW1,45.4208777,-75.6901106,Ottawa,Ontario,Canada,YOW1
Amazon_YOW2,45.4208777,-75.6901106,Ottawa,Ontario,Canada,YOW2
Amazon_YOW3,45.4208777,-75.6901106,Ottawa,Ontario,Canada,YOW3
Amazon_YXU1,42.7415823,-81.3319189,Southwold,Ontario,Canada,YXU1
Amazon_Toronto,43.6534817,-79.3839347,Toronto,Ontario,Canada,Toronto
Amazon_YMH6,43.8798200,-78.9421751,Whitby,Ontario,Canada,YMH6
Amazon_YUL9,45.2963957,-74.1782005,Coteau-du-Lac,Quebec,Canada,YUL9
Amazon_YUL5,45.5219060,-73.4644578,Longueuil,Quebec,Canada,YUL5
Amazon_Montréal,45.5031824,-73.5698065,Montréal,Quebec,Canada,Montréal
Amazon_HYU1,45.5042755,-73.4216976,Saint-Hubert,Quebec,Canada,HYU1
Amazon_DYH1,,,Halifax,Atlantic Canada,Canada,DYH1
Amazon_Amazon Hub Counter,63.7585820,-68.5470790,Amazon Hub Counter,Nunavut,Canada,Amazon Hub Counter
