Name,Latitude,Longitude,City,State,Country,Code
Amazon_Beijing,40.1906320,116.4121440,Beijing,,China,Beijing
Amazon_Chengdu,30.6598670,104.0633150,Chengdu,,China,Chengdu
Amazon_Guangzhou,23.1301964,113.2592945,Guangzhou,,China,Guangzhou
Amazon_Harbin,45.7593633,126.6276177,Harbin,,China,Harbin
Amazon_Jinan,36.6519754,117.1138479,Jinan,,China,Jinan
Amazon_Nanning,22.8193063,108.3627211,Nanning,,China,Nanning
Amazon_Shanghai,31.2312707,121.4700152,Shanghai,,China,Shanghai
Amazon_Shenyang,41.8026095,123.4279105,Shenyang,,China,Shenyang
Amazon_Suzhou,31.3111230,120.6212881,Suzhou,,China,Suzhou
Amazon_Tianjin,39.3032619,117.4163641,Tianjin,,China,Tianjin
Amazon_Xi'an,34.2610040,108.9423363,Xi'an,,China,Xi'an
Amazon_Xiamen,24.5438732,118.0768065,Xiamen,,China,Xiamen
