Name,Latitude,Longitude,City,State,Country,Code
Amazon_SVGA,16.5115306,80.6160469,Vijayawada,Andhra Pradesh,India,SVGA
Amazon_SGAA,26.1805978,91.7539430,Guwahati,Assam,India,SGAA
Amazon_SDED,,,Delhi NCT,Assam,India,SDED
Amazon_SDEE,,,Delhi NCT,Assam,India,SDEE
Amazon_PNQ2,,,Delhi NCT,Assam,India,PNQ2
Amazon_SDEJ,,,Delhi NCT,Assam,India,SDEJ
Amazon_AMD1,23.0215374,72.5800568,Ahmedabad,Gujarat,India,AMD1
Amazon_AMD2,23.0215374,72.5800568,Ahmedabad,Gujarat,India,AMD2
Amazon_DEL2,28.4646148,77.0299194,Gurgaon,Haryana,India,DEL2
Amazon_DEL4,28.4646148,77.0299194,Gurgaon,Haryana,India,DEL4
Amazon_DEL5,28.4646148,77.0299194,Gurgaon,Haryana,India,DEL5
Amazon_BLR5,12.9767936,77.5900820,Bangalore,Karnataka,India,BLR5
Amazon_BLR7,12.9767936,77.5900820,Bangalore,Karnataka,India,BLR7
Amazon_SIDA,22.7203616,75.8681996,Indore,Madhya Pradesh,India,SIDA
Amazon_BOM7,19.3025562,73.0588072,Bhiwandi,Maharashtra,India,BOM7
Amazon_BOM5,19.3025562,73.0588072,Bhiwandi,Maharashtra,India,BOM5
Amazon_BOM1,19.0549990,72.8692035,Mumbai,Maharashtra,India,BOM1
Amazon_BOM3,19.0549990,72.8692035,Mumbai,Maharashtra,India,BOM3
Amazon_BOM4,19.0549990,72.8692035,Mumbai,Maharashtra,India,BOM4
Amazon_NAG1,21.1498134,79.0820556,Nagpur,Maharashtra,India,NAG1
Amazon_SPNA,18.5213738,73.8545071,Pune,Maharashtra,India,SPNA
Amazon_SATA,30.9090157,75.8516010,Ludhiana,Punjab,India,SATA
Amazon_SJAB,26.9154576,75.8189817,Jaipur,Rajasthan,India,SJAB
Amazon_NARE,26.4530971,77.0160461,Karauli,Rajasthan,India,NARE
Amazon_MAA4,13.0836939,80.2701860,Chennai,Tamil Nadu,India,MAA4
Amazon_MAA5,13.0836939,80.2701860,Chennai,Tamil Nadu,India,MAA5
Amazon_SCJA,11.0018115,76.9628425,Coimbatore,Tamil Nadu,India,SCJA
Amazon_HYD1,17.3605890,78.4740613,Hyderabad,Telangana,India,HYD1
Amazon_HYD8,17.3605890,78.4740613,Hyderabad,Telangana,India,HYD8
Amazon_SLKA,26.8381000,80.9346001,Lucknow,Uttar Pradesh,India,SLKA
Amazon_SCCA,22.5726459,88.3638953,Kolkata,West Bengal,India,SCCA
Amazon_SCCG,22.5726459,88.3638953,Kolkata,West Bengal,India,SCCG
Amazon_SCCH,22.5726459,88.3638953,Kolkata,West Bengal,India,SCCH
Amazon_SCCF,22.5726459,88.3638953,Kolkata,West Bengal,India,SCCF
Amazon_SCCC,22.5726459,88.3638953,Kolkata,West Bengal,India,SCCC
Amazon_CCU1,22.5726459,88.3638953,Kolkata,West Bengal,India,CCU1
