Name,Latitude,Longitude,City,State,Country,Code
Amazon_NRT1,35.7216340,139.9309444,Ichikawa,Chiba Prefecture,Japan,NRT1
Amazon_TPF6,35.8322582,140.1452981,Inzai,Chiba Prefecture,Japan,TPF6
Amazon_NRT2,35.7225370,140.0995131,Yachiyo,Chiba Prefecture,Japan,NRT2
Amazon_NGO2,35.3329961,137.1319459,Tajimi,Gifu Prefecture,Japan,NGO2
Amazon_HND9,35.5306639,139.7037668,Kawasaki,Kanagawa Prefecture,Japan,HND9
Amazon_FSZ1,35.2645301,139.1522460,Odawara,Kanagawa Prefecture,Japan,FSZ1
Amazon_KIX2,34.7120151,135.6235341,Daitō,Osaka Prefecture,Japan,KIX2
Amazon_KIX4,34.5743612,135.5974874,Fujiidera,Osaka Prefecture,Japan,KIX4
Amazon_KIX3,34.8161302,135.5685528,Ibaraki,Osaka Prefecture,Japan,KIX3
Amazon_KIX1,34.5737364,135.4828866,Sakai,Osaka Prefecture,Japan,KIX1
Amazon_TPF3,34.8464785,135.6172204,Takatsuki,Osaka Prefecture,Japan,TPF3
Amazon_HSG1,33.3778536,130.5061966,Tosu,Saga Prefecture,Japan,HSG1
Amazon_NRT5,35.9251145,139.4856927,Kawagoe,Saitama Prefecture,Japan,NRT5
Amazon_HND3,,,Kawajima,Kawaguchi,Japan,HND3
Amazon_HND8,,,Hachioji,Tokyo Metropolis,Japan,HND8
