Name,Latitude,Longitude,City,State,Code,Address,Zip
Walmart_LAX2,33.9685680,-117.6583090,Chino,CA,LAX2,6720 Kimball Ave,91708
Walmart_NJ3,39.7669515,-75.4124353,Pedricktown,NJ,NJ3,3 Sorbello Rd,08067
Walmart_KY1,37.9885936,-85.7158246,Shepherdsville,KY,KY1,120 Velocity Way,40165
Walmart_IND1,39.7447033,-86.3595384,PLAINFIELD,IN,IND1,9590 ALLPOINTS PARKWAY,46168
Walmart_ATL3,34.1623292,-83.6779474,Pendergrass,GA,ATL3,445 Valentine Industrial Parkway,30567
Walmart_PHX1,33.4933796,-112.3581240,Litchfield Park,AZ,PHX1,6600 North Sarival Avenue,85340
Walmart_PHL2,4.6643441,-74.1095535,PA,PA,PHL2,"Walmart PHL2n 2785 Commerce Center Blvd Bethlehem, PA 18015",18015
Walmart_LAX1,33.9685766,-117.6574407,Chino,CA,LAX1,6750 Kimball Avenue,91708
Walmart_MCO1,28.2390644,-81.6597194,DAVENPORT,FL,MCO1,5100 NORTH RIDGE TRAIL,33897
Walmart_SMF1,38.7371133,-121.5768143,Sacramento,CA,SMF1,7000 Powerline Rd,95837
Walmart_IND2,39.7628227,-86.3997168,Avon,IN,IND2,9360 AllPoints Pkwy,46123
Walmart_W-PHL2,40.6117769,-75.3317057,Bethlehem,PA,W-PHL2,2785 Commerce Center Boulevard,18015
Walmart_KS1,38.7804172,-94.9404641,EDGERTON,KS,KS1,30801 W 191st St,66021
Walmart_ATL2,33.5883698,-85.0787764,Carrollton,GA,ATL2,3101 US-27,30117
Walmart_MCI1n,39.0490110,-95.6775560,Topeka,KS,MCI1n,1303 Sw Innovation Pkway,66619
Walmart_ATL1,33.7544657,-84.3898151,Atlanta,GA,ATL1,6055 S Fulton Pkwy,30349
Walmart_IND2T,39.7038720,-86.3994770,Plainfield,IN,IND2T,9360 AllPoints Pkwy. Suite 162,46168
Walmart_IND2N,39.7038720,-86.3994770,PLAINFIELD,IN,IND2N,9360 ALLPOINTS PKWY. SUITE 107,46168
Walmart_ATL2n,33.5511243,-85.0734542,Carrollton,GA,ATL2n,3101 N. Highway 27,30117
Walmart_MEM1-S,34.9606630,-89.8120593,Olive Branch,MS,MEM1-S,9200 Alexander Road,38654
Walmart_PHL4n,40.0507198,-77.5205485,Shippensburg,PA,PHL4n,1410 United Dr,17257
Walmart_ORD1s,41.4765958,-88.0992749,Joliet,IL,ORD1s,3501 Brandon Road,60436
Walmart_BNA1s,36.1286774,-86.3938106,Lebanon,TN,BNA1s,1015 Hixson Blvd,37090
Walmart_W-MEM1s,34.9863726,-89.8073610,Olive Branch,MS,W-MEM1s,10480 Marina Drive,38654
Walmart_W-IND3,39.8939648,-85.9219417,Mccordsville,IN,W-IND3,5756 Enterprise Dr,46055
Walmart_W-DC2030,43.6271760,-79.6936442,Mississauga,ON,W-DC2030,233 Madill Blvd.,L5W 1Y6
Walmart_CVG1n,39.4307514,-84.3242036,Monroe,OH,CVG1n,650 Gateway Blvd,45050
Walmart_DFW5s,32.5847640,-96.7554321,Lancaster,TX,DFW5s,2500 E Belt Line Rd,75146
Walmart_NJ3T,39.7669515,-75.4124353,Pedricktown,NJ,NJ3T,7 Sorbello Rd,08067
Walmart_DFW2n,33.0031212,-97.2864144,Fort Worth,TX,DFW2n,15101 N Beach ST,76177
Walmart_PHL5s,39.7903710,-77.7277714,Greencastle,PA,PHL5s,1915 Ebberts Spg Ct,17225
Walmart_PHL1s,40.6112546,-75.3227189,Bethlehem,PA,PHL1s,3215 Commerce Center Blvd,18015
Walmart_DFW6s,32.9429234,-97.3486644,Fort Worth,TX,DFW6s,14700 Blue Mound Rd,76052
Walmart_0003503GDM,43.6271760,-79.6936442,Mississauga,ON,0003503GDM,233 Madill Blvd.,L5W 0H1
Walmart_DC2028,51.3699347,-114.0141860,Rocky View,AB,DC2028,10 High Plns Tr,T4A 3M6
Walmart_DC2093,43.6353640,-79.6860148,Mississauga,ON,DC2093,6175 Edwards Blvd,L5T 2W7
